product_id,name,category,subcategory,unit_price,cost,price_outlier,catalog_price,catalog_cost,stock_units,in_supplier_catalog
1,Black Camera,Electronics,Cameras,433.54,224.24,False,440.6266121051296,224.24,270.0,True
2,Maintain Laptop,Electronics,Laptops,807.37,351.48,False,794.8056489665487,351.48,16.0,True
3,Start Accessorie,Electronics,Accessories,978.72,367.95,False,1009.6660840308892,367.95,91.0,True
4,Movement Headphone,Electronics,Headphones,17.97,12.57,False,,,,False
5,Yeah Smartphone,Electronics,Smartphones,503.34,180.1,False,524.449133438593,180.1,161.0,True
6,Important Laptop,Electronics,Laptops,531.19,192.72,False,,,,False
7,Beyond Accessorie,Electronics,Accessories,357.42,167.06,False,359.0951031936047,167.06,104.0,True
8,Plant Smartphone,Electronics,Smartphones,295.82,122.24,False,289.99422677459245,122.24,489.0,True
9,Right Laptop,Electronics,Laptops,66.57,26.82,False,67.34849674358524,26.82,5.0,True
10,After Laptop,Electronics,Laptops,309.24,235.47,False,306.0290641122288,235.47,474.0,True
11,Change Smartphone,Electronics,Smartphones,216.27,129.85,False,218.16398756169224,129.85,46.0,True
12,Get Smartphone,Electronics,Smartphones,156.75,77.9,False,163.4162311099779,77.9,238.0,True
13,Support Headphone,Electronics,Headphones,152.16,71.45,False,,,,False
14,Find Headphone,Electronics,Headphones,90.93,61.01,False,90.07089876314174,61.01,12.0,True
15,Sea Headphone,Electronics,Headphones,536.46,192.64,False,535.3471062451271,192.64,50.0,True
16,Yes Smartphone,Electronics,Smartphones,245.66,101.09,False,,,,False
17,Light Laptop,Electronics,Laptops,953.82,375.23,False,,,,False
18,Rest Camera,Electronics,Cameras,35.67,20.03,False,36.7172909851647,20.03,423.0,True
19,Improve Smartphone,Electronics,Smartphones,727.02,269.65,False,750.2348585350576,269.65,23.0,True
20,Arm Accessorie,Electronics,Accessories,548.49,335.04,False,545.4342392825207,335.04,182.0,True
21,Right Camera,Electronics,Cameras,614.24,247.11,False,611.6941328170767,247.11,216.0,True
22,Scientist Smartphone,Electronics,Smartphones,205.71,98.81,False,215.6565756530213,98.81,461.0,True
23,Cost Headphone,Electronics,Headphones,235.35,174.8,False,231.54836356900927,174.8,39.0,True
24,Concern Headphone,Electronics,Headphones,696.97,282.68,False,731.2565638670629,282.68,55.0,True
25,Protect Headphone,Electronics,Headphones,282.92,149.7,False,284.6366520186707,149.7,132.0,True
26,Agent Laptop,Electronics,Laptops,259.69,123.49,False,268.03345970858004,123.49,364.0,True
27,Into Laptop,Electronics,Laptops,686.85,342.59,False,,,,False
28,Series Accessorie,Electronics,Accessories,749.19,279.01,False,745.7388174284612,279.01,402.0,True
29,Pressure Accessorie,Electronics,Accessories,103.82,57.5,False,103.43287935896892,57.5,251.0,True
30,Hospital Laptop,Electronics,Laptops,477.17,214.5,False,497.31639655438255,214.5,118.0,True
31,Wide Laptop,Electronics,Laptops,976.57,373.86,False,970.2493794774008,373.86,430.0,True
32,East Smartphone,Electronics,Smartphones,338.4,127.28,False,,,,False
33,Forward Accessorie,Electronics,Accessories,217.73,78.93,False,216.28870045064545,78.93,298.0,True
34,Television Laptop,Electronics,Laptops,399.8,208.52,False,402.14689590776015,208.52,335.0,True
35,Wide Camera,Electronics,Cameras,425.48,268.86,False,425.77044060633455,268.86,358.0,True
36,Work Smartphone,Electronics,Smartphones,749.87,321.49,False,763.1303290762097,321.49,393.0,True
37,Executive Laptop,Electronics,Laptops,608.8,285.91,False,601.2149910163138,285.91,100.0,True
38,Say Camera,Electronics,Cameras,364.99,233.95,False,374.73094548726,233.95,94.0,True
39,Yeah Laptop,Electronics,Laptops,412.64,256.52,False,415.5124779192628,256.52,428.0,True
40,Because Laptop,Electronics,Laptops,171.89,75.68,False,170.74616986593605,75.68,309.0,True
41,Rest Smartphone,Electronics,Smartphones,376.48,158.48,False,389.33895657968543,158.48,399.0,True
42,Cost Camera,Electronics,Cameras,328.75,216.35,False,328.95541226213817,216.35,180.0,True
43,A Laptop,Electronics,Laptops,97.72,52.4,False,,,,False
44,Walk Camera,Electronics,Cameras,6.81,4.3,False,6.958194713031108,4.3,196.0,True
45,Beautiful Camera,Electronics,Cameras,511.39,183.54,False,,,,False
46,Reflect Laptop,Electronics,Laptops,397.56,205.91,False,395.9490443178862,205.91,415.0,True
47,Central Camera,Electronics,Cameras,513.39,252.36,False,520.2695277995394,252.36,348.0,True
48,Court Camera,Electronics,Cameras,231.62,156.59,False,229.26053525469325,156.59,186.0,True
49,Left Laptop,Electronics,Laptops,850.7,304.77,False,,,,False
50,Wear Headphone,Electronics,Headphones,240.1,113.11,False,247.6436330373156,113.11,278.0,True
51,Former Cookware,Home & Kitchen,Cookware,863.34,370.52,False,887.9242480968924,370.52,332.0,True
52,Still Cookware,Home & Kitchen,Cookware,12.48,6.91,False,12.745015582739368,6.91,248.0,True
53,Student Decor,Home & Kitchen,Decor,192.38,115.82,False,198.3746522103789,115.82,369.0,True
54,We Decor,Home & Kitchen,Decor,679.71,371.36,False,680.0610502538397,371.36,466.0,True
55,Others Cookware,Home & Kitchen,Cookware,395.52,222.82,False,400.6779969734537,222.82,207.0,True
56,Heavy Appliance,Home & Kitchen,Appliances,186.07,83.65,False,184.5346293477425,83.65,120.0,True
57,Try Cookware,Home & Kitchen,Cookware,510.39,229.78,False,517.499242355929,229.78,497.0,True
58,Artist Appliance,Home & Kitchen,Appliances,87.55,52.45,False,,,,False
59,Action Furniture,Home & Kitchen,Furniture,287.12,185.42,False,292.19594873705955,185.42,69.0,True
60,Coach Furniture,Home & Kitchen,Furniture,148.68,113.95,False,154.78912235542325,113.95,375.0,True
61,Trade Appliance,Home & Kitchen,Appliances,512.76,233.12,False,,,,False
62,Key Furniture,Home & Kitchen,Furniture,244.7,95.18,False,251.0214299943315,95.18,411.0,True
63,Song Appliance,Home & Kitchen,Appliances,430.39,178.68,False,432.9974634332281,178.68,130.0,True
64,Task Appliance,Home & Kitchen,Appliances,29.71,12.14,False,29.661220789760005,12.14,159.0,True
65,Scene Appliance,Home & Kitchen,Appliances,460.75,176.35,False,,,,False
66,Wide Cookware,Home & Kitchen,Cookware,447.18,201.12,False,455.470739984241,201.12,170.0,True
67,Apply Furniture,Home & Kitchen,Furniture,355.8,151.07,False,362.94227289600695,151.07,447.0,True
68,Bar Appliance,Home & Kitchen,Appliances,133.13,69.85,False,139.01289199604528,69.85,229.0,True
69,Front Decor,Home & Kitchen,Decor,274.11,163.83,False,280.4666180714609,163.83,363.0,True
70,Bring Furniture,Home & Kitchen,Furniture,402.01,153.64,False,,,,False
71,Green Furniture,Home & Kitchen,Furniture,362.18,259.25,False,,,,False
72,Difficult Cookware,Home & Kitchen,Cookware,286.08,157.38,False,295.7757315238011,157.38,142.0,True
73,Travel Appliance,Home & Kitchen,Appliances,346.78,176.21,False,349.90852466336054,176.21,485.0,True
