review_id,product_id,customer_id,rating,review_date,review_text,has_text
1,93,1712,5,2022-02-23,Green accept share must trial member drug.,True
2,283,1532,5,2024-07-29,Though bring himself know some pattern according to free.,True
3,3,234,5,2022-11-10,,False
4,91,1502,5,2022-08-07,Free theory none so myself follow not control commercial say side find house discuss.,True
5,221,2197,4,2022-08-11,,False
6,70,2120,4,2022-12-14,Industry sound condition across reason leader government cost eight work.,True
7,14,1288,5,2022-01-29,Reason call traditional boy song success difficult.,True
8,96,234,4,2022-09-08,Accept country red collection positive part produce attack trade modern buy of major above hand.,True
9,189,1945,4,2024-06-09,Its significant me deep he nearly bank open.,True
10,137,2323,5,2022-06-16,,False
11,30,310,1,2024-10-20,Notice less win cold real high might remember seek significant true long.,True
12,257,1842,4,2022-02-23,Teach attack without participant choice training look common meeting forward think term price yet catch reveal.,True
13,247,466,5,2024-03-12,,False
14,295,1819,4,2022-08-23,Class approach necessary past Mr personal stuff director production choice edge everyone maintain everything.,True
15,65,872,3,2023-11-02,Room under team security at wind what officer report red.,True
16,108,1038,4,2023-04-20,,False
17,86,992,3,2024-12-03,Save same camera plant without everybody research chance system.,True
18,267,1126,4,2022-04-05,Response marriage sure camera then during responsibility among since.,True
19,295,25,2,2024-11-25,,False
20,273,2497,5,2024-02-27,Me individual though imagine how able worker arm resource.,True
22,62,187,5,2023-01-19,Discuss stock lead green total benefit Mr car audience age class our indeed third rate score.,True
23,263,674,5,2023-06-30,,False
24,9,1052,5,2024-11-01,Fear tend American war old what design want ahead easy whole must every per.,True
25,19,920,5,2023-05-03,Class nothing soon data budget main may happen newspaper happy subject success traditional.,True
26,127,610,4,2024-03-13,West theory American doctor hour check now sound gun art ok single situation feel.,True
27,12,1220,4,2024-04-17,Kid issue woman range painting country different.,True
28,120,2383,5,2023-01-25,Gas few page cold couple suffer history its street because why eight skill.,True
29,222,769,5,2023-09-04,,False
30,267,383,3,2022-01-06,Try school wait never fly pull big method message.,True
31,55,1192,5,2022-11-24,Move manage worry wear pay science us.,True
32,44,751,4,2024-01-09,Police right traditional represent price number herself determine nice.,True
33,169,1509,5,2023-04-12,Thought result while example leave when threat project half door.,True
34,241,878,5,2024-05-28,End dark spring speak drive bad strong summer more if.,True
35,178,2058,5,2023-11-06,,False
36,161,119,4,2024-05-01,Woman environment tell sing hospital ready push material somebody husband Republican result.,True
37,56,2366,5,2022-03-24,,False
38,57,1740,5,2024-05-17,Return wall trouble friend current whose job nor yard establish hit.,True
39,285,1957,3,2022-03-05,,False
40,35,425,3,2023-12-31,Since him southern issue town call computer experience against recently account forward stuff peace vote meet.,True
41,254,2474,1,2023-06-25,,False
42,137,1197,3,2024-07-09,Continue human central skill he high few land both two add thank.,True
43,131,2320,3,2024-10-01,Carry happy response would enter his value experience young west practice.,True
44,299,1446,2,2023-01-31,,False
45,8,1487,5,2023-04-25,Crime society church indeed break since though degree special laugh include price leader bit traditional tough.,True
46,68,372,5,2022-05-03,,False
47,261,1608,3,2022-07-22,,False
48,35,1087,3,2022-04-15,Move rather business vote state turn center.,True
49,287,1029,5,2024-10-26,Bag role land trouble news five decide spring price.,True
50,54,1608,5,2022-10-25,Item town something employee such practice quickly any market.,True
51,56,829,3,2023-06-25,,False
52,129,221,1,2023-03-08,Thank value quality reality in game score challenge toward.,True
53,5,2446,5,2023-01-18,Laugh officer hundred food could life born treat population another shake record spring sport.,True
54,74,15,3,2023-04-12,As until happen power probably animal agent charge task condition campaign finally floor production war.,True
55,259,2467,2,2023-08-28,International page dinner off social shoulder design huge south.,True
56,164,1667,3,2023-03-09,,False
57,35,769,2,2022-01-27,,False
58,149,792,3,2024-08-17,Manager clearly along business her generation remember million.,True
59,244,1499,5,2022-06-05,Compare result over cost risk task six gas rest whom good throw process.,True
60,86,1152,5,2022-02-05,,False
61,96,2134,3,2023-10-16,Travel chance character really spring dinner pattern throw owner company.,True
62,89,819,2,2022-09-16,Hair list really thus story site different dinner interview medical will.,True
63,183,1369,2,2024-06-26,However traditional necessary learn memory home marriage where share southern stop customer although add.,True
64,182,2285,5,2024-07-16,Choose between population weight wonder develop while question place.,True
65,28,1757,4,2023-11-15,Relationship white manage soldier picture type seven move election.,True
66,219,759,3,2023-11-14,Long food send capital decide wide describe real check weight try meet play.,True
67,9,2134,5,2023-08-08,Factor young get wrong teach not response professor rate team condition when if help start peace.,True
68,180,2017,4,2022-02-13,,False
69,146,1947,3,2023-07-12,,False
70,110,1299,4,2023-07-24,Decision prevent too drug today so long sometimes at positive mother even.,True
71,261,274,5,2023-09-10,Every still according protect director next figure business no chance thousand author simple company.,True
72,77,533,5,2024-02-08,,False
73,287,2111,4,2022-01-27,Meet expert human number result prevent history finish.,True
74,105,2305,3,2022-01-04,So and five notice son view process happy into result author.,True
75,72,1842,5,2023-10-05,Short pull form even now provide office heavy world opportunity late market source art sound.,True
76,257,607,1,2022-03-12,Adult collection with project author term many carry product.,True
77,216,1457,4,2023-08-02,Film wait number sell involve water idea mother positive.,True
79,98,1803,1,2023-06-07,,False
80,183,2459,4,2024-11-15,Where receive white movement little name good subject very wait rate too recognize final.,True
81,97,733,3,2024-11-02,Owner picture him final air mention rise official.,True
82,137,1778,5,2023-04-03,Consider by animal building attorney success simple main her year none lay.,True
83,277,768,2,2022-04-04,,False
84,146,1007,4,2022-12-06,Lose represent ability inside night how finally program itself husband occur.,True
85,178,1355,5,2023-08-27,Late finally wait information cut three interview wrong either former age each fire determine current open.,True
86,14,1342,2,2023-08-25,Window north pattern while kid body play practice case receive development day reason.,True
87,124,1889,4,2022-12-24,Letter account happy body more leg purpose interview doctor bad finish face modern sure subject shake.,True
88,188,910,5,2022-05-23,Hour two including itself fear form energy too type seat film either authority to partner how.,True
89,141,1618,5,2022-02-12,Operation send drug relationship tax every late difficult thing theory enough moment put price no certainly.,True
90,237,808,5,2024-11-23,Order matter campaign reveal rich despite offer.,True
91,4,928,3,2022-10-02,Politics think old value between citizen whose young set knowledge article community team seven look.,True
92,286,81,1,2022-02-27,Tonight million cover piece six have line one teacher call each.,True
93,101,1293,5,2022-10-05,Few note summer high ask rich development.,True
94,68,1977,4,2022-02-04,Statement center say green carry boy safe.,True
95,261,1424,5,2023-04-18,Four hour green religious hot former front quality likely able vote wife bad off.,True
96,68,996,4,2023-10-29,,False
97,126,391,4,2024-03-18,Want end guess fear else force hold be development my.,True
98,300,87,3,2022-09-20,,False
99,217,1006,4,2024-04-23,Answer daughter three couple imagine usually scientist almost eat financial fall enter.,True
100,229,785,4,2024-04-08,Pretty affect discussion late often mean really song how start.,True
101,59,1001,4,2023-09-04,,False
102,298,835,3,2023-03-06,,False
103,247,2287,5,2022-07-23,Allow social write prepare represent today notice.,True
104,125,1739,5,2024-12-21,High old anyone though president position win just experience letter could.,True
105,192,1639,5,2023-05-02,Few success around direction soldier strong water.,True
106,190,2224,4,2023-04-03,Class next want instead full large front the two.,True
107,40,259,4,2024-10-16,,False
108,267,2079,4,2023-07-25,,False
109,40,1646,5,2023-03-25,,False
110,254,2084,4,2022-03-17,Current card yes perhaps do carry care husband yard.,True
111,9,1473,4,2023-08-26,Daughter act against culture impact kid safe but too situation.,True
112,283,2161,5,2023-05-18,,False
113,9,1333,2,2022-11-03,Usually action task center long particular seem firm together arm everyone have.,True
114,274,1003,1,2024-10-21,Back tough travel same news election maintain dog.,True
115,14,1012,4,2024-11-06,Establish truth society another music learn water son special something.,True
116,24,602,3,2024-01-20,Before response whatever product car appear health.,True
117,161,1848,4,2022-01-23,Sport reveal trouble else third leg simply big true politics real fly employee.,True
118,239,966,2,2023-08-02,Performance strategy very consumer enough hit policy dinner.,True
119,150,1978,3,2023-01-17,Child quality pick fund the ask choose out sort once read history serve.,True
120,98,1455,5,2023-02-11,,False
121,62,1910,3,2022-01-26,Republican trip right challenge easy eat could of wait some between.,True
122,6,157,5,2022-12-25,Beat another most whole among recent work need.,True
123,136,2295,5,2023-09-27,Anyone trouble wish available talk television machine really something usually our good onto people edge great.,True
124,203,631,5,2022-12-30,,False
125,53,335,5,2022-04-13,,False
126,274,1661,4,2022-09-24,Five though share management common center man hold effort detail lawyer clear guess eye certain heart.,True
127,73,842,5,2022-04-09,Quickly rate end these him when training science ability much crime wish.,True
128,52,2143,5,2022-09-12,Few theory street fight subject material out two activity let source.,True
129,277,1387,2,2023-05-03,,False
130,106,1947,3,2023-03-27,Team pass help medical glass partner themselves.,True
131,280,1695,4,2024-12-10,Small large either reduce consider interview price civil there scientist.,True
132,265,2233,5,2024-06-28,Do continue TV listen some civil grow child industry though glass base special.,True
133,241,2027,4,2024-11-28,Agree hard rise citizen or bring follow ten up.,True
134,84,2307,4,2023-01-21,,False
135,118,1973,4,2022-03-04,Despite charge fish serious red I job leg result child impact step reveal.,True
136,178,1712,1,2022-02-16,Amount help friend else method position necessary best daughter.,True
137,54,9,5,2022-07-20,Development Mrs surface analysis off surface difference talk.,True
138,256,2197,4,2022-04-15,Standard base sure behind stock site head fast.,True
139,281,1618,3,2023-05-30,Represent Mrs thank myself movie yard fear across.,True
140,112,2209,5,2024-03-12,,False
141,292,467,5,2024-04-12,Body force news around finally figure card student a some concern up trouble marriage point lose.,True
142,16,938,4,2022-06-09,,False
143,106,350,4,2023-04-27,Minute simply where point example thank see simple budget itself can fast.,True
144,75,1179,1,2023-02-24,Born cell us speak condition cover admit real animal.,True
145,169,1234,4,2022-04-15,Particularly mother somebody both run visit true nothing technology.,True
146,92,1868,5,2024-08-30,Bed television land stay image participant with everyone.,True
147,26,890,5,2022-12-08,Benefit claim recognize book near arm themselves institution again read collection able accept view security.,True
148,298,540,4,2024-07-07,From name country benefit focus another special establish though tonight near ability great ready understand.,True
149,156,2051,3,2024-06-29,,False
150,123,1256,3,2022-02-01,Color sing should artist later move it state series value tax concern new threat think maybe.,True
151,111,1684,4,2023-07-28,Pull third data sport imagine section measure play third white tree seek should.,True
