customer_id,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_score,segment
1,372.0,3.0,2286.3675,2,2,2,2.0,At Risk
2,79.0,4.0,4199.6345,4,3,3,3.2,Potential
3,279.0,6.0,12657.7395,2,5,5,4.4,Champions
4,780.0,1.0,19.76,1,1,1,1.0,Churned
5,72.0,2.0,4109.393,4,1,3,2.4000000000000004,At Risk
6,228.0,2.0,2172.744,2,1,2,1.6,Churned
7,153.0,1.0,1670.3825000000002,3,1,2,1.8,At Risk
8,279.0,2.0,1667.8355000000001,2,1,2,1.6,Churned
9,88.0,3.0,3782.524,4,2,3,2.8000000000000003,Potential
10,79.0,2.0,1687.6754999999998,4,1,2,2.0,At Risk
11,131.0,4.0,3296.6220000000003,3,3,3,3.0000000000000004,Potential
12,384.0,4.0,3659.6265,2,3,3,2.8000000000000003,Potential
13,149.0,5.0,6099.4974999999995,3,4,4,3.8000000000000003,Loyal
14,152.0,3.0,5678.8835,3,2,4,3.0,Potential
15,68.0,4.0,4889.5365,4,3,4,3.6,Loyal
16,384.0,2.0,970.8525,2,1,1,1.2000000000000002,Churned
17,661.0,4.0,6691.300499999999,1,3,5,3.4000000000000004,Loyal
18,121.0,7.0,8096.987,3,5,5,4.6,Champions
19,401.0,1.0,668.148,1,1,1,1.0,Churned
20,1.0,3.0,3488.18,5,2,3,3.0,Potential
21,93.0,4.0,4452.825,4,3,4,3.6,Loyal
22,197.0,2.0,455.3315,3,1,1,1.4,Churned
23,172.0,4.0,12011.249,3,3,5,3.8000000000000003,Loyal
24,5.0,3.0,5007.221,5,2,4,3.4000000000000004,Loyal
25,2.0,4.0,4424.398,5,3,4,3.8000000000000003,Loyal
26,355.0,4.0,4036.4880000000003,2,3,3,2.8000000000000003,Potential
27,249.0,4.0,6731.4505,2,3,5,3.6,Loyal
28,116.0,2.0,1337.9285,3,1,1,1.4,Churned
29,416.0,5.0,37871.9055,1,4,5,3.8,Loyal
30,52.0,2.0,4031.8635,4,1,3,2.4000000000000004,At Risk
31,615.0,2.0,1405.864,1,1,1,1.0,Churned
32,370.0,1.0,544.136,2,1,1,1.2000000000000002,Churned
33,59.0,7.0,6493.7805,4,5,4,4.4,Champions
34,315.0,6.0,13428.581999999999,2,5,5,4.4,Champions
35,26.0,3.0,1961.15,5,2,2,2.6,Potential
36,137.0,5.0,5758.7235,3,4,4,3.8000000000000003,Loyal
37,86.0,3.0,2349.319,4,2,2,2.4000000000000004,At Risk
38,206.0,2.0,945.4365,3,1,1,1.4,Churned
39,279.0,1.0,753.5305000000001,2,1,1,1.2000000000000002,Churned
40,122.0,1.0,1338.7055,3,1,1,1.4,Churned
41,401.0,1.0,976.57,1,1,1,1.0,Churned
42,301.0,4.0,6582.437,2,3,5,3.6,Loyal
43,206.0,4.0,3059.333,3,3,3,3.0000000000000004,Potential
44,128.0,2.0,1331.411,3,1,1,1.4,Churned
45,81.0,1.0,505.5225,4,1,1,1.6,Churned
46,505.0,2.0,1126.23,1,1,1,1.0,Churned
47,909.0,1.0,443.54,1,1,1,1.0,Churned
48,415.0,6.0,6122.769,1,5,4,3.8000000000000003,Loyal
49,356.0,1.0,859.22,2,1,1,1.2000000000000002,Churned
50,137.0,1.0,458.05,3,1,1,1.4,Churned
51,57.0,3.0,3658.777,4,2,3,2.8000000000000003,Potential
52,167.0,4.0,3379.9004999999997,3,3,3,3.0000000000000004,Potential
53,8.0,5.0,4280.7795,5,4,3,3.8000000000000003,Loyal
54,72.0,7.0,6094.484,4,5,4,4.4,Champions
55,377.0,5.0,4001.188,2,4,3,3.2,Potential
56,102.0,5.0,6576.287,4,4,5,4.4,Champions
57,115.0,3.0,2271.3505,3,2,2,2.2,At Risk
58,97.0,4.0,4880.031,4,3,4,3.6,Loyal
59,28.0,2.0,1771.631,5,1,2,2.2,At Risk
60,131.0,1.0,3627.5,3,1,3,2.2,At Risk
61,195.0,4.0,2883.197,3,3,2,2.6000000000000005,Potential
62,98.0,2.0,1542.414,4,1,1,1.6,Churned
63,48.0,4.0,3285.7585,4,3,3,3.2,Potential
64,65.0,3.0,2726.352,4,2,2,2.4000000000000004,At Risk
