country,payment_method,order_count,share_of_country_orders
Australia,gift_card,276,0.2092
Australia,debit_card,273,0.207
Australia,credit_card,270,0.2047
Australia,paypal,257,0.1948
Australia,bank_transfer,243,0.1842
Canada,gift_card,270,0.2219
Canada,credit_card,259,0.2128
Canada,paypal,253,0.2079
Canada,debit_card,227,0.1865
Canada,bank_transfer,208,0.1709
France,gift_card,121,0.2142
France,bank_transfer,115,0.2035
France,paypal,110,0.1947
France,credit_card,110,0.1947
France,debit_card,109,0.1929
Germany,gift_card,238,0.2112
Germany,debit_card,234,0.2076
Germany,bank_transfer,220,0.1952
Germany,paypal,219,0.1943
Germany,credit_card,216,0.1917
India,credit_card,117,0.2276
India,paypal,108,0.2101
India,debit_card,101,0.1965
India,bank_transfer,98,0.1907
India,gift_card,90,0.1751
Singapore,credit_card,144,0.2108
Singapore,bank_transfer,140,0.205
Singapore,gift_card,136,0.1991
Singapore,debit_card,135,0.1977
Singapore,paypal,128,0.1874
Thailand,bank_transfer,118,0.2149
Thailand,gift_card,117,0.2131
Thailand,debit_card,114,0.2077
Thailand,credit_card,102,0.1858
Thailand,paypal,98,0.1785
UK,bank_transfer,255,0.2172
UK,debit_card,250,0.2129
UK,credit_card,244,0.2078
UK,gift_card,229,0.1951
UK,paypal,196,0.167
USA,debit_card,389,0.21
USA,paypal,375,0.2025
USA,gift_card,373,0.2014
USA,credit_card,372,0.2009
USA,bank_transfer,343,0.1852
