product_id,catalog_name,category,catalog_price,catalog_cost,stock_units
9000,Small Prototype,Books & Media,38.48,34.07,16
9001,Standard Prototype,Beauty & Health,97.52,140.67,50
9002,Executive Prototype,Apparel,47.71,103.54,31
9003,Task Prototype,Sports & Outdoors,121.02,94.13,30
9004,Growth Prototype,Beauty & Health,75.01,68.96,8
9005,Suddenly Prototype,Home & Kitchen,174.9,72.38,46
9006,Individual Prototype,Apparel,288.34,131.09,11
9007,Leader Prototype,Sports & Outdoors,107.98,61.73,24
9008,Sign Prototype,Electronics,274.14,91.39,4
9009,Trial Prototype,Electronics,141.54,132.01,49
9010,Attention Prototype,Beauty & Health,157.72,14.75,35
9011,Boy Prototype,Sports & Outdoors,38.5,35.74,33
