order_date,active_customers
2022-01-02,2
2022-01-09,25
2022-01-16,43
2022-01-23,37
2022-01-30,41
2022-02-06,33
2022-02-13,36
2022-02-20,31
2022-02-27,38
2022-03-06,29
2022-03-13,31
2022-03-20,27
2022-03-27,36
2022-04-03,25
2022-04-10,37
2022-04-17,35
2022-04-24,34
2022-05-01,37
2022-05-08,27
2022-05-15,36
2022-05-22,38
2022-05-29,35
2022-06-05,46
2022-06-12,43
2022-06-19,28
2022-06-26,47
2022-07-03,31
2022-07-10,32
2022-07-17,56
2022-07-24,46
2022-07-31,31
2022-08-07,40
2022-08-14,44
2022-08-21,37
2022-08-28,47
2022-09-04,41
2022-09-11,38
2022-09-18,38
2022-09-25,43
2022-10-02,35
2022-10-09,36
2022-10-16,36
2022-10-23,48
2022-10-30,44
2022-11-06,60
2022-11-13,42
2022-11-20,42
2022-11-27,46
2022-12-04,41
2022-12-11,39
2022-12-18,50
2022-12-25,47
2023-01-01,45
2023-01-08,31
2023-01-15,48
2023-01-22,57
2023-01-29,49
2023-02-05,40
2023-02-12,42
2023-02-19,54
2023-02-26,50
2023-03-05,64
2023-03-12,43
2023-03-19,41
2023-03-26,35
2023-04-02,36
2023-04-09,43
2023-04-16,49
2023-04-23,43
2023-04-30,42
2023-05-07,49
2023-05-14,41
2023-05-21,45
2023-05-28,50
2023-06-04,54
2023-06-11,46
2023-06-18,63
2023-06-25,52
2023-07-02,54
2023-07-09,60
2023-07-16,59
2023-07-23,52
2023-07-30,66
2023-08-06,52
2023-08-13,41
2023-08-20,52
2023-08-27,55
2023-09-03,59
2023-09-10,57
2023-09-17,47
2023-09-24,71
2023-10-01,62
2023-10-08,57
2023-10-15,45
2023-10-22,65
2023-10-29,55
2023-11-05,62
2023-11-12,58
2023-11-19,49
2023-11-26,64
2023-12-03,55
2023-12-10,65
2023-12-17,58
2023-12-24,58
2023-12-31,75
2024-01-07,69
2024-01-14,77
2024-01-21,83
2024-01-28,70
2024-02-04,76
2024-02-11,71
2024-02-18,67
2024-02-25,74
2024-03-03,68
2024-03-10,66
2024-03-17,77
2024-03-24,76
2024-03-31,60
2024-04-07,60
2024-04-14,70
2024-04-21,63
2024-04-28,84
2024-05-05,66
2024-05-12,77
2024-05-19,67
2024-05-26,73
2024-06-02,75
2024-06-09,81
2024-06-16,61
2024-06-23,79
2024-06-30,92
2024-07-07,106
2024-07-14,66
2024-07-21,81
2024-07-28,94
2024-08-04,86
2024-08-11,68
2024-08-18,92
2024-08-25,93
2024-09-01,86
2024-09-08,85
2024-09-15,93
2024-09-22,76
2024-09-29,77
2024-10-06,94
2024-10-13,103
2024-10-20,82
2024-10-27,92
2024-11-03,84
2024-11-10,82
2024-11-17,83
2024-11-24,85
2024-12-01,70
2024-12-08,85
2024-12-15,80
2024-12-22,74
2024-12-29,86
2025-01-05,32
