SKU,item_name,dept,list_price_usd,supplier_cost,in_stock_units
90,Group Furniture,Home & Kitchen,220.23497697363692,99.04,393
242,Huge Personal Care,Beauty & Health,166.72082330629962,79.41,281
230,Fight Supplement,Beauty & Health,853.2213475453452,362.81,261
213,Star Supplement,Beauty & Health,113.99777709858668,82.05,359
245,Throughout Personal Care,Beauty & Health,11782.864607644548,104.23,354
125,Increase Women,Apparel,597.040016626138,343.96,276
295,Among Media,Books & Media,144.66394724894755,92.57,365
118,During Men,Apparel,639.842186637484,399.46,82
103,Carry Women,Apparel,479.6784875414062,260.68,166
298,Wait Media,Books & Media,238.58870455995967,153.1,281
68,Bar Appliance,Home & Kitchen,139.01289199604528,69.85,229
287,Total Fiction,Books & Media,752.1836547217557,370.71,336
111,Situation Men,Apparel,227.577743153858,142.94,311
254,Them Children,Books & Media,294.01053130998105,179.03,261
14,Find Headphone,Electronics,90.07089876314174,61.01,12
201,When Supplement,Beauty & Health,589.8946433368567,386.16,52
88,Voice Decor,Home & Kitchen,281.3733386638156,206.76,308
33,Forward Accessorie,Electronics,216.28870045064542,78.93,298
278,Page Fiction,Books & Media,402.72249780617807,276.82,176
218,Month Supplement,Beauty & Health,128.2295218620424,50.54,455
216,Effort Supplement,Beauty & Health,513.4723991647747,345.22,11
185,Avoid Camping,Sports & Outdoors,588.785342414385,268.37,199
86,Less Decor,Home & Kitchen,442.4897787194704,290.11,263
39,Yeah Laptop,Electronics,415.5124779192628,256.52,428
72,Difficult Cookware,Home & Kitchen,295.7757315238011,157.38,142
151,Say Fitnes,Sports & Outdoors,632.8354400824159,246.9,383
155,Away Camping,Sports & Outdoors,630.5594498881452,258.46,218
202,Thank Skincare,Beauty & Health,528.8838586489712,201.68,75
300,Those Non-Fiction,Books & Media,133.26256617897812,87.08,0
12,Get Smartphone,Electronics,163.4162311099779,77.9,238
51,Former Cookware,Home & Kitchen,887.9242480968924,370.52,332
97,Black Appliance,Home & Kitchen,648.7542798344923,301.4,465
38,Say Camera,Electronics,374.73094548726,233.95,94
160,Where Camping,Sports & Outdoors,147.4159252581296,98.55,356
98,Southern Appliance,Home & Kitchen,72.21614071149045,53.12,57
21,Right Camera,Electronics,611.6941328170767,247.11,216
101,Cut Women,Apparel,484.72270777537426,300.87,411
36,Work Smartphone,Electronics,763.1303290762097,321.49,393
266,Feeling Non-Fiction,Books & Media,115.11271864828234,46.6,198
173,Soon Fitnes,Sports & Outdoors,600.8140568671905,354.03,495
273,Ask Children,Books & Media,553.4804706099255,289.19,85
279,Scientist Non-Fiction,Books & Media,236.71835430036407,166.06,209
63,Song Appliance,Home & Kitchen,432.9974634332281,178.68,130
10,After Laptop,Electronics,306.0290641122288,235.47,474
116,Ahead Men,Apparel,852.3685930920979,353.76,314
270,Environmental Non-Fiction,Books & Media,34712.37030278167,252.13,16
59,Action Furniture,Home & Kitchen,292.19594873705955,185.42,69
191,Yeah Camping,Sports & Outdoors,476.2062035027295,215.03,347
206,Office Skincare,Beauty & Health,617.8947183818207,396.87,394
162,Do Team Sport,Sports & Outdoors,124.84168004176558,53.07,307
